Designator,Mid X,Mid Y,Rotation,Layer
C1,113.521841,32.564091,0.0,bottom
C2,115.651842,32.564091,180.0,bottom
D1,25.958932,66.523029,111.0,bottom
D10,210.624023,66.743721,69.0,bottom
D11,24.238779,52.282768,111.0,bottom
D12,28.297117,55.949257,291.0,bottom
D13,47.785524,58.354649,291.0,bottom
D14,66.113123,51.306037,291.0,bottom
D15,83.277929,34.86412,291.0,bottom
D16,141.097133,36.098362,249.0,bottom
D17,158.600593,49.859066,249.0,bottom
D18,176.928196,56.907676,249.0,bottom
D19,196.416603,54.502289,249.0,bottom
D2,30.618727,74.857264,291.0,bottom
D20,212.954774,47.761276,69.0,bottom
D21,59.974494,29.696828,111.0,bottom
D22,25.975506,37.041256,291.0,bottom
D23,45.463913,39.446647,291.0,bottom
D24,63.791511,32.398031,291.0,bottom
D25,158.93686,26.142001,97.0,bottom
D27,160.922203,30.951062,249.0,bottom
D28,179.249805,37.999674,249.0,bottom
D29,198.738213,35.594284,249.0,bottom
D3,50.107135,77.262652,291.0,bottom
D31,40.992048,32.027579,111.0,bottom
D32,82.306782,26.954767,111.0,bottom
D33,156.145324,25.799244,69.0,bottom
D34,181.762712,29.479903,69.0,bottom
D36,118.261842,48.968548,90.0,top
D37,118.261842,78.559091,90.0,bottom
D4,68.434733,70.214041,291.0,bottom
D5,86.181933,58.438428,291.0,bottom
D6,138.531784,56.991459,249.0,bottom
D7,156.278982,68.767071,249.0,bottom
D8,174.606585,75.815685,249.0,bottom
D9,194.094992,73.410293,249.0,bottom
F1,119.811842,80.764092,90.0,bottom
J1,118.260632,87.559736,180.0,bottom
R1,118.261842,46.76632,90.0,bottom
R2,118.261842,52.244091,270.0,top
R4,116.711842,80.764091,270.0,bottom
R5,118.261842,80.764092,270.0,bottom
SW37,118.261843,50.158546,0.0,bottom
SW38,118.261842,43.374091,0.0,bottom
U1,118.152349,28.463082,270.0,bottom
U2,118.261841,75.034091,270.0,bottom
